bp_delta,bp_theta,bp_alpha,bp_beta,entropy,mi,coh_alpha,pac,label,subject
2.0616130759799292e-11,1.0691118330259894e-12,5.34057466171945e-13,2.007588534158816e-13,3.7470371014714994,0.4520064722065517,0.10657074958357769,0.011337461058417438,1,7
3.940064973678125e-11,1.1726971525203594e-12,5.05890382333478e-13,2.0107531604538318e-13,3.8855510997854465,0.6703678236773016,0.10531318006755225,0.014624289109985577,1,7
1.7841923762248177e-11,1.21418798488019e-12,4.610917710927779e-13,1.8810867573365974e-13,3.8382586570923953,0.42038709566969085,0.09404394195746049,0.00886209662425987,1,7
3.503153782537676e-11,1.2152692601207682e-12,5.341788916565292e-13,1.9860356145754863e-13,3.585265828846871,0.563942244594823,0.11930075491937901,0.019847430858080925,1,7
1.265651750146415e-11,7.022074114383408e-13,4.02612972232623e-13,1.605266679354682e-13,3.7329891584336417,0.4310209041560511,0.14774292480078874,0.00436762332520001,1,7
1.29639688381921e-11,7.328710062193833e-13,3.4660697497072853e-13,1.440491987726784e-13,3.686947736379058,0.3768818191592394,0.12040841393410887,0.0018225166520668837,1,7
2.483368735826116e-11,9.918336635253565e-13,4.1938960030886357e-13,1.4800461871662926e-13,3.6917624138779237,0.5689831467824547,0.12260611491582205,0.01390122389203582,1,7
9.06907290162954e-12,7.871547493248891e-13,5.368885119565937e-13,1.1091803689792221e-13,3.4239167233150374,0.34157834009597693,0.2253993485107057,0.0010809879192919206,1,7
8.063560852781706e-12,6.938317052635564e-13,3.586906115631148e-13,1.208737249863054e-13,3.5099338136596128,0.33660527958949693,0.20518860959942004,0.004076394144139904,1,7
6.483801412035146e-12,8.574148747280184e-13,5.531089510947064e-13,1.0885419300653199e-13,3.8289081260061506,0.3479888896686236,0.2752345140653838,-0.006669372894382219,1,7
6.2723524792705096e-12,5.896640652433758e-13,2.867341140865044e-13,1.0123469978132937e-13,3.654169861910941,0.3928345340745876,0.19140157972197502,0.0005947132337378387,1,7
1.8121022109378473e-11,7.321807208389321e-13,3.4704704448370514e-13,1.2348851559667748e-13,3.480800823572225,0.6881583161621403,0.1599151402249514,0.008733850258545648,1,7
1.8441170312193033e-11,7.878615511258889e-13,3.680239387806411e-13,1.8924472919413078e-13,3.3511580182192366,0.44981545816068363,0.13105483602797938,0.0075713404854411154,1,7
4.60312704058957e-12,4.610700245230516e-13,2.584686573300379e-13,8.195377318422071e-14,3.7433317723300332,0.34469727779252435,0.16650390343181878,-0.0052907502778668045,1,7
